lieu;titre;adresse;ville;code_postal;code_insee
centre pompidou;final -manifeste 2022 se termine sur un eclat de rire salvateur;pompidou;paris;75004;75104
bibliotheque benoite groult;vive les vacances;25 rue du commandant rene mouchotte;paris;75014;75114
quai des celestins;bal arrange, dansons tous ensemable;voie georges pompidou;paris;75004;75104
le carreau du temple;sobanova dance awards #6;2 rue perree;paris;75003;75103
non renseigne;les nuits des forets 2022;non renseigne;non renseigne;75000;
arboretum de paris;l'arboretum de paris;route de la pyramide;paris;75012;75112
l'atelier montmartre;exposition de photographie  vie nocturne  par dimitri sandler;6 rue burq;paris;75018;75118
bois de vincennes;le festival we love green fait son grand retour !;route de la pyramide;paris;75012;75112
centre paris anim' arras;stages ete 2022;48 rue du cardinal lemoine;paris;75005;75105
a la folie theatre;a la folie theatre - cours de theatre ados;6, rue de la folie mericourt;paris;75011;75111
paris expo - hall 5.1;paris philex 2022, le salon du timbre, de l'ecrit et de la collection;porte de versailles;paris;75015;75115
non renseigne;omma  josef nadj;non renseigne;non renseigne;75000;
petit palais - musee des beaux-arts de la ville de paris;se mobiliser a paris pendant la guerre d'algerie, une journee d'etude du comite d'histoire de la ville de paris;2 avenue winston-churchill;paris;75008;75108
centre culturel irlandais;les gros patinent bien, cabaret en carton  pierre guillois et olivier martin-salvan;5 rue des irlandais;paris;75005;75105
theatre de l'atelier;des cometes  laure brisa;1 place charles dullin;paris;75018;75118
la recyclerie; pragmatique  et surtout pas  punitive  : l'ecologie de droite peut-elle nous sauver ?;83 boulevard ornano;paris;75018;75118
fgo-barbara;diam min tekky soiree de soutient a l'apdm;1 rue fleury;paris;75018;75118
betonsalon - centre d'art et de recherche;recettes magiques, atelier 6-12 ans;9 esplanade pierre vidal-naquet;paris;75013;75113
parc floral de paris;brad mehldau & ian bostridge | yom & leo jassef;route de la pyramide;paris;75012;75112
non renseigne;festival du mieux manger;non renseigne;non renseigne;75000;
bibliotheque parmentier;table ronde : nos identites celles qu'on nous impose celles qu'on cache;20bis avenue parmentier;paris;75011;75111
philharmonie de paris;elan / finale du concours international de composition pour orchestre;221 avenue jean jaures;paris;75019;75119
non renseigne;150e anniversaire de la naissance de leon blum;non renseigne;non renseigne;75000;
studio de l'ermitage;cumbia ya !;8 rue de l'ermitage;paris;75020;75120
non renseigne;seminaire et degustation : voyage au pays du the vert;non renseigne;non renseigne;75000;
palais de la porte doree - musee national de l'histoire de l'immigration;exposition  juifs et musulmans de la france coloniale a nos jours ;293 av. daumesnil;paris;75012;75112
bibliotheque saint-eloi;la violence scolaire;23 rue du colonel rozanoff;paris;75012;75112
le baiser sale;concert : elisabeth salaun project #womaninjazz;58 rue des lombards;paris;75001;75101
non renseigne;mission coupe du monde de rugby 2023 en france;non renseigne;non renseigne;75000;
chateau de thoiry;thoiry wild race 2022;rue du pavillon de montreuil;thoiry;78770;78616
chateau de thoiry;thoiry wild race 2022;rue du pavillon de montreuil;thoiry;78770;78036
chateau de thoiry;thoiry wild race 2022;rue du pavillon de montreuil;thoiry;78770;78013
chateau de thoiry;thoiry wild race 2022;rue du pavillon de montreuil;thoiry;78770;78034
chateau de thoiry;thoiry wild race 2022;rue du pavillon de montreuil;thoiry;78770;78278
chateau de thoiry;thoiry wild race 2022;rue du pavillon de montreuil;thoiry;78770;78364
chateau de thoiry;thoiry wild race 2022;rue du pavillon de montreuil;thoiry;78770;78681
petit bain;nicolas comment + marquis;7 port de la gare;paris;75013;75113
bibliotheque crimee;"atelier ""l'amicale des insectes"" avec l'illustratrice helene rajcak";42 rue petit;paris;75019;75119
la gaite lyrique;n lab : mode economie d'energie;3 bis rue papin;paris;75003;75103
instituto cervantes de paris;exposition agustin gomez arcos. entre la memoire et l'oubli;7, rue quentin bauchart 75008 paris;paris;75008;75108
theatre ouvert;le prix de lor;159 avenue gambetta;paris;75020;75120
non renseigne;croisiere commentee sur la marne et le monde de la batellerie;non renseigne;non renseigne;75000;
bibliotheque georges brassens;les collections du musee d'art et d'histoire de l'hopital saint-anne;38 rue gassendi;paris;75014;75114
fondation henri cartier-bresson;mathieu pernot - la ruine de sa demeure;79, rue des archives;paris;75003;75103
memorial de la shoah;une lettre en heritage;17 rue geoffroy l'asnier;paris;75004;75104
supersonic;concerts au supersonic;9 rue biscornet;paris;75012;75112
jardin nelson mandela;animation danse et musique mexicaines;32, rue berger;paris;75001;75101
square louise-michel;boris vian : le parisien ravi;6, place saint-pierre;paris;75018;75118
petit bain;stars en concert au petit bain;7 port de la gare;paris;75013;75113
creche collective municipale monplaisir;les samedis en famille  creche monplaisir;7 passage monplaisir;paris;75020;75120
montmartre;un jeu de piste / enquete dans paris : mystere a montmartre;place marcel ayme;paris;75018;75118
le baiser sale;yannick benoit quartet;58 rue des lombards;paris;75001;75101
mairie du 18e arrondissement;concert d'ouverture - festival adolphe sax;1 place jules joffrin;paris;75018;75118
non renseigne;stage de theatre / juillet 2022 / paris;non renseigne;non renseigne;75000;
maif social club;"visite guidee de l'expo ""prendre la tangente"" avec mounir ayache";37 rue de turenne;paris;75003;75103
cinema chaplin saint-lambert;films + atelier sensoriel pour les tout petits !;6 rue peclet;paris;75015;75115
non renseigne;"""au fait, il faut que je vous dise"" - chantal cadoret";non renseigne;non renseigne;75000;
place de venetie;paris sport dimanches : place de venetie;sur la place;paris;75013;75113
bibliotheque place des fetes;concert rock;18 rue janssen;paris;75019;75119
jardin nelson mandela;bibliotheque hors les murs au jardin nelson mandela;32, rue berger;paris;75001;75101
parc martin luther king;paris sport dimanches : parc martin luther king;147 rue cardinet;paris;75017;75117
centre social et culturel 13 pour tous;atelier croc et toi;4, place de venetie;paris;75013;75113
non renseigne;les samedis en famille;non renseigne;non renseigne;75000;
la fabrique de la solidarite;"""au grand air"" - exposition";8 rue de la banque;paris;75002;75102
le millenaire, 20 quai du lot, paris 19;spring madness #2;20 quai du lot;paris;75019;75119
maison paris nature;autour des plantes sauvages;parc floral de paris;paris;75012;75112
bibliotheque historique de la ville de paris (bhvp);remise du prix pour un premier roman;24 rue pavee;paris;75004;75104
le 360 paris music factory;"edouard ferlet ""pianoid""";32 rue myrha;paris;75018;75118
couleurs brazil;"atelier d'ecriture decouverte ""oser ecrire !""";18 rue du borrego;paris;75020;75120
maison europeenne de la photographie;visite commentee  love songs  pour les 16-20 ans a la mep;5 rue de fourcy;paris;75004;75104
mediatheque marguerite duras;cineffable - projection de courts metrages;115, rue de bagnolet;paris;75020;75120
mediatheque francoise sagan;double clic : concevoir la renovation de votre logement grace a un logiciel 3d;8 rue leon schwartzenberg;paris;75010;75110
micadanses;stage de danse afro;20, rue geoffroy l'asnier;paris;75004;75104
jardin21;open air avec osmose;12/a rue ella fitzgerald;paris;75019;75119
bibliotheque l'heure joyeuse;les animations de juin a l'heure joyeuse;6 rue des pretre saint severin;paris;75005;75105
l'alimentation generale;around the world;64 rue jean-pierre timbaud;paris;75011;75111
bibliotheque glaciere - marina tsvetaieva;creation d'une carte postale a l'aquarelle avec valerie linder;132 rue de la glaciere;paris;75013;75113
mediatheque francoise sagan;concert musiques actuelles;8 rue leon schwartzenberg;paris;75010;75110
metro corvisart;visite guidee insolite de la butte-aux-cailles;51, boulevard auguste-blanqui;paris;75013;75113
cinema le balzac;cine-(re)creation mon voisin totoro;1 rue balzac;paris;75008;75108
centre pompidou;alter ego;pompidou;paris;75004;75104
centre pompidou;de tinieblas;pompidou;paris;75004;75104
ircam - centre pompidou;polytopes / reouverture de l'espace de projection;1 place igor stravinsky;paris;75004;75104
non renseigne;nature a paris : le programme;non renseigne;non renseigne;75000;
forum des images;newimages festival 2022;2 rue du cinema;paris;75001;75101
musee de montmartre;ateliers enfants exposition temporaire charles camoin : le moulin rouge;12 rue cortot;paris;75018;75118
la recyclerie;temoignage dun pollueur repenti;83 boulevard ornano;paris;75018;75118
le 6b;vintage beach market - dimanche d'ete au 6b;6-10 quai de seine;saint-denis;93200;
halle pajol;concert broadway;20 esplanade nathalie sarraute;paris;75018;75118
tour montparnasse;g.u.i.d  groupe urbain d'intervention dansee;33 avenue du maine;paris;75015;75115
le monfort theatre;ottilie b  coeur <3;parc georges brassens, 106 rue brancion;paris;75015;75115
lycee jacques-decour;loic lantoine & the very big experimental toubifri;12 avenue trudaine;paris;75009;75109
les lilas;portrait chinois  karim messaoudi;parc lucie aubrac - 50 rue romain rolland;les lilas;93260;93045
mediatheque marguerite duras;l'oreille ne fait pas la sieste;115, rue de bagnolet;paris;75020;75120
bibliotheque forney;geo-fourrier, voyageur et maitre des arts decoratifs : exposition;1 rue du figuier;paris;75004;75104
emmaus solidarite;paris 12e : ou donner vos vetements a paris ?;11 avenue nogent;paris;75012;75112
accueil de jour familles;paris 13e : ou donner vos vetements a paris;24 quai d'austerlitz;paris;75013;75113
auditorium de radio france;saint-saens, n 2 / alexandre kantorow;116 avenue du president kennedy;paris;75016;
auditorium de radio france;chostakovitch, n 8, juraj valcuha;116 avenue du president kennedy;paris;75016;
non renseigne;cours d'initiation a la recherche;non renseigne;non renseigne;75000;
supersonic;sunday tribute - arctic monkeys;9 rue biscornet;paris;75012;75112
non renseigne;premiers pas en art-therapie;non renseigne;non renseigne;75000;
theatre du chatelet;chatelet musical club;1 place du chatelet;paris;75001;75101
musee du quai branly jacques chirac;sur la route des chefferies du cameroun;37 quai branly;paris;75007;75107
theatre de l'aquarium;bruit - festival theatre et musique;la cartoucherie - route du champ de manuvre;paris;75012;75112
academie du climat;paroles dadultes, regards denfants : aborder la crise climatique avec les jeunes;2 place baudoyer;paris;75004;75104
gobelins, l'ecole de l'image;stage d'initiation a l'animation;73, boulevard saint marcel;paris;75013;75113
maison du geste et de l'image;"""fraternite/sororite/adelphite""  stage theatre & danse 12/15 ans";42, rue saint-denis;paris;75001;75101
musee cognacq-jay;"visite flash - exposition ""boilly. chroniques parisiennes""";8 rue elzevir;paris;75003;75103
musee cognacq-jay;"visite guidee - exposition ""boilly. chroniques parisiennes""";8 rue elzevir;paris;75003;75103
musee national eugene-delacroix;delacroix et la nature;6 rue de furstemberg;paris;75006;75106
jardin nelson mandela;"art'r 2022 / ""ce que voient les oiseaux"" par la compagnie derezo";32, rue berger;paris;75001;75101
le bal;judith joy ross  photographies 1978-2015;6, impasse de la defense;paris;75018;75118
musee de la liberation de paris - musee du general leclerc - musee jean moulin; femmes photographes de guerre  au musee de la liberation de paris;4 avenue du colonel henri rol-tanguy;paris;75014;75114
jardin place de la garenne;bibliotheques hors les murs 2022 : bibliotheque georges brassens;place de la garenne;paris;75014;75114
musee de la vie romantique, hotel scheffer-renan;pauline viardot au musee de la vie romantique;16 rue chaptal;paris;75009;75109
musee jacquemart-andre;gallen-kallela, mythes et nature;158 boulevard haussmann;paris;75008;75108
sunset & sunside;leila;60 rue des lombards;paris;75001;75101
theatre du point virgule;la grande soiree de l'humour francophone dans le cadre du festival d'humour de paris;7 rue sainte croix de la bretonnerie;paris;75004;75104
theatre bobino;fabien olicard & friends dans le cadre du festival d'humour de paris;14-20 rue de la gaite;paris;75014;75114
domaine de st cloud;thriathlon des roses;1 av. de la grille d'honneur;saint-cloud;92210;92064
cafe de la monnaie;nos cafes litteraires rencontres;rue de la monnaie;paris;75001;75101
square du temple - elie-wiesel;bibliotheque hors les murs 2022 de la bibliotheque marguerite audoux;64, rue de bretagne;paris;75003;75103
bibliotheque andree chedid;bhlm : bibliotheque hors les murs andree chedid;36 rue emeriau;paris;75015;75115
