lieu;titre;adresse;ville;code_postal;code_insee
le 360 paris music factory;jean-michel davis quintet + matthieu marthouret;32 rue myrha;paris;75018;75118
le 360 paris music factory;festival adolphe sax  maxime berton & quatuor yendo;32 rue myrha;paris;75018;75118
la maison des metallos;[fiesta] before l'aventure;94, rue jean-pierre timbaud;paris;75011;75111
square trousseau;les menus plaisirs - concert de musique de chambre;2 rue antoine vollon;paris;75012;75112
bibliotheque germaine tillion;cafe geopolitique : la guerre en ukraine. rencontre avec alexandra goujon et laurent hassid.;6 rue du commandant schloesing;paris;75016;
mairie du 20e arrondissement;marche de l'esat menilmontant;6 place gambetta;paris;75020;75120
new morning;miles davis se livre;9 rue des petites ecuries;paris;75010;75110
la bellevilloise;festival et release party le collectif;19-21 rue boyer;paris;75020;75120
comme vous emoi;cabarets d'improvisation;5 rue de la revolution;montreuil;93100;93048
dans la rue;fete de quartier - concert interculturel;rue de metz;paris;75010;75110
musee carnavalet-histoire de paris;conte jeune public au musee carnavalet : lange gardien du musee;23 rue de sevigne;paris;75003;75103
musee cernuschi - musee des arts de l'asie de la ville de paris;visite contee en famille;7 avenue velasquez;paris;75008;75108
musee carnavalet-histoire de paris;atelier enfants : les enfants de paris;23 rue de sevigne;paris;75003;75103
musee carnavalet-histoire de paris;atelier enfants : a tous les etages;23 rue de sevigne;paris;75003;75103
musee carnavalet-histoire de paris;atelier enfants : sur les ailes de mercure;23 rue de sevigne;paris;75003;75103
crypte archeologique de l'ile de la cite;weekend familles a la crypte;place jean-paul ii;paris;75004;75104
centre culturel canadien;dire, affirmer, reveler;130 rue du faubourg saint honore;paris;75008;75108
le cirque electrique;velu.e cabaret de tous poils;place du maquis du vercors;paris;75020;75120
cinema le balzac;exposition sur grand ecran au balzac;1 rue le balzac;paris;75008;75108
bibliotheque gutenberg;soiree jeux de societe a la bibliotheque gutenberg;8 rue de la montagne d'aulas;paris;75015;75115
parc floral de paris;angel bat dawid | thomas de pourquery;route de la pyramide;paris;75012;75112
parc floral de paris;neue grafik ensemble;route de la pyramide;paris;75012;75112
maison du japon (cite universitaire);concert : voyage imaginaire en musique francaise;7 c boulevard jourdan;paris;75014;75114
place de la pointe, pantin;cuarteto cubano x le barboteur;place de la pointe;pantin;93500;93055
la cinematheque francaise - musee du cinema;les classiques de l'ete a la cinematheque francaise;51, rue de bercy;paris;75012;75112
non renseigne;histoires et merveilles a montsouris - visite guidee;non renseigne;non renseigne;75000;
philharmonie de paris;concert autour de la nouvelle piece de misato mochizuki;221 avenue jean jaures;paris;75019;75119
philharmonie de paris;concert en hommage a anton webern;221 avenue jean jaures;paris;75019;75119
le baiser sale;"#jazzdedemain lucie guillem ""devera"" #2";58 rue des lombards;paris;75001;75101
supersonic;teen spirit / nuit teenage rock au supersonic;9 rue biscornet;paris;75012;75112
musee du louvre;pharaon des deux terres, l'epopee africaine des rois de napata;rue de rivoli;paris;75001;75101
bibliotheque saint-eloi;nos rendez-vous litteraires : performance litteraire lsf / francais;23 rue du colonel rozanoff;paris;75012;75112
mediatheque marguerite duras;enfants & musique;115, rue de bagnolet;paris;75020;75120
place de la bastille - angle rue saint antoine;le faubourg saint antoine, lieu d'artisans et de revolutions;3 bis place de la bastille;paris;75004;75104
depart : square laurent prache;jeu de piste a paris : enquete a saint-germain;1 pl. saint-germain des pres;paris;75006;75106
le baiser sale;pablo murgier ensemble  gare du sud tour;58 rue des lombards;paris;75001;75101
maison europeenne de la photographie;"""another love story"" de karla hiraldo voleau - l'amour mis en scene a la mep";5 rue de fourcy;paris;75004;75104
theatre le bout;"one woman show ""rose piscine""";6 rue frochot;paris;75009;75109
parc zoologique de paris;les dimanches au zoo - parc zoologique de paris;route de la ceinture du lac;paris;75012;75112
musee d'art et d'histoire du judaisme;marcel proust. du cote de la mere;71, rue du temple;paris;75003;75103
la gaite lyrique;switch : la nouvelle realite;3 bis rue papin;paris;75003;75103
la gaite lyrique;alterations - tous publics;3 bis rue papin;paris;75003;75103
actisce centre paris anim' censier;cp censier en fete;12, rue censier;paris;75005;75105
memorial de la shoah;temoignages : esther senot, jenny plocki et joseph schwartz;17 rue geoffroy l'asnier;paris;75004;75104
memorial de la shoah;temoignage : arlette testyler et rachel jedinak;17 rue geoffroy l'asnier;paris;75004;75104
creche collective municipale bichat;les samedis en famille  creche bichat;7 bis rue bichat;paris;75010;75110
creche municipale cabanis;les samedis en famille  creche cabanis;2 rue cabanis;paris;75014;75114
parc des buttes-chaumont;kiosques en fete avec mestizos;place armand-carrel;paris;75019;75119
la philharmonie de paris;programmation musicale jeune public a la philharmonie en mai et juin;221 avenue jean jaures;paris;75019;75119
l'atelier sous les toits;atelier d'ecriture parent-enfant;84 rue de charenton;paris;75012;75112
non renseigne;"atelier ecriture & the : ""infusez votre plume dans le the""";4 rue tronchet;paris;75008;75108
auditorium de radio france;le voyage de nyamba, un conte du fond des mers;116 avenue du president kennedy;paris;75016;
conservatoire a rayonnement regional de paris - crr;atelier contemporain de suzanne giraud;14 rue de madrid;paris;75008;75108
supersonic;album du dimanche  radiohead - ok computer / supersonic;9 rue biscornet;paris;75012;75112
musee de l'orangerie;aux sources des nympheas : les impressionnistes et la decoration;jardin des tuileries place de la concorde (cote seine);paris;75001;75101
maison du geste et de l'image;video mapping  stage 15/18 ans;42 rue saint-denis;paris;75001;75101
archives de paris - salle paul verlaine;que sait-on des notaires de paris et de leurs archives aujourdhui ? quelques etudes de cas appliquees aux xvie-xixe siecle.;18 boulevard serurier;paris;75019;75119
bibliotheque aime cesaire;grandes histoires sous le frangipanier;5, rue de ridder;paris;75014;75114
centre pompidou;charles ray au centre pompidou;place georges-pompidou;paris;75004;75104
la gaite lyrique;voile  capitaine futur;3 bis rue papin;paris;75003;75103
eglise saint germain des pres;les 4 saisons de vivaldi, ave maria et celebres adagios;3, place saint-germain-des-pres;paris;75006;75106
palais de la porte doree - musee de l'histoire de l'immigration / aquarium tropical;algues marines;293 avenue daumesnil;paris;75012;75112
musee du luxembourg;exposition  pionnieres, artistes dans le paris des annees folles ;19 rue de vaugirard;paris;75006;75106
museum national d'histoire naturelle;l'odyssee sensorielle, museum national d'histoire naturelle;57  rue cuvier;paris;75005;75105
musee du louvre;stage de dessin de la tete et les expressions du visage;34, quai du louvre;paris;75001;75101
mediatheque jean-pierre melville;"cappuccino litteraire : ""lectures estivales""";79 rue nationale;paris;75013;75113
les trois baudets;bernard werber - voyage interieur;64 boulevard de clichy;paris;75018;75118
jardin des plantes;bibliotheques hors les murs 2022 - buffon;25 rue geoffroy saint hilaire;paris;75005;75105
musee de l'homme;enki bilal au musee de l'homme;17 place du trocadero;paris;75016;
academie du climat;tumo paris 4  cycles de projets du 11 mai au 25 juin;2 place baudoyer;paris;75004;75104
bibliotheque l'heure joyeuse;"concours de comic strips ""3 a 4 cases, 1 ligne""";6-12 rue des pretres saint-severin;paris;75005;75105
sunset & sunside;"""an american in paris"" & genne kelly";60 rue des lombards;paris;75001;75101
eglise saint-marcel;concerts d'ete de la formation symphonique du coge;82 boulevard de lhopital;paris;75013;75113
supersonic;festival restons serieux #5;9 rue biscornet;paris;75012;75112
plateforme;exposition color[frame];73 rue des haies;paris;75020;75120
palais de la porte doree - aquarium tropical;"atelier ""poisson arc-en-ciel"" (3-5 ans)";293 av. daumesnil;paris;75012;75112
mediatheque musicale de paris (mmp);"""a cordes et a coeur"" : rencontre musicale autour du livre de thibault cauvin";8 porte saint eustache;paris;75001;75101
non renseigne;le mois parisien du handicap pour changer de regard;non renseigne;non renseigne;75000;
stade charlety;au meeting de paris, les athletes investissent la capitale;99 bd kellermann;paris;75013;75113
musee de la vie romantique, hotel scheffer-renan;cycle d'ateliers d'ecriture exposition 'heroines romantiques ';16 rue chaptal;paris;75009;75109
cinema luminor hotel de ville;une soiree cinema pour les gourmands;20 rue du temple;paris;75004;75104
mediatheque francoise sagan;dans la foulee des mots;8 rue leon schwartzenberg;paris;75010;75110
le baiser sale;#placeauxjeunes jam session animee par nora kamm speciale zouk;58 rue des lombards;paris;75001;75101
kiosque du parc montsouris;seances bien-etre pour femmes - relaxation;21, rue gazan;paris;75014;75114
cinema saint-andre des arts;sandwich club - retour vers le futur - pour les 9-12 ans !;30 rue saint-andre des arts;paris;75006;75106
bibliotheque andre malraux;concert de musique bresilienne;112 rue de rennes;paris;75006;75106
majestic passy cinema;different. festival de cinema espagnol;18 rue de passy,;paris;75016;
le 360 paris music factory;pascal contet & quatuor adastra;32 rue myrha;paris;75018;75118
la maison des metallos;[fiesta] before la difference, avec madeleine louarn et la troupe de catalyse;94, rue jean-pierre timbaud;paris;75011;75111
la maison des metallos;[spectacle] l'homme canon de remi luchez;94, rue jean-pierre timbaud;paris;75011;75111
la maison des metallos;"[spectacle] ""anima"" de jordi gali";94, rue jean-pierre timbaud;paris;75011;75111
olympiades;paris sport dimanches : olympiades;44 avenue d'ivry;paris;75013;75113
place de la bastille;paris sport dimanches : place de la bastille;sur la place;paris;75000;
bibliotheque historique de la ville de paris (bhvp);conference sur le velo et le bonheur des enfants;24 rue pavee;paris;75004;75104
le hasard ludique;kiefer;128 avenue de saint-ouen;paris;75018;75118
bassin de la villette (esapce des bibliotheques);le livre de ta vie;47 quai de la seine;paris;75019;75119
mairie du 14e arrondissement;shommes xy performance bal contemporain;2 place ferdinand brunot;paris;75014;75114
musee cernuschi - musee des arts de l'asie de la ville de paris;stage dinitiation a la calligraphie;7 avenue velasquez;paris;75008;75108
musee cernuschi - musee des arts de l'asie de la ville de paris;visite-animation (7-11 ans)  dragon articule;7 avenue velasquez;paris;75008;75108
musee carnavalet-histoire de paris;atelier enfants : paris et ses incontournables;23 rue de sevigne;paris;75003;75103
le 360 paris music factory;nebula #12;32 rue myrha;paris;75018;75118
maison de victor hugo;"""les tresors caches autour de la place des vosges""";6 place des vosges;paris;75004;75104
bibliotheque louise walser-gaillard;histoires de signes;26, rue chaptal;paris;75009;75109
non renseigne;ete du canal;non renseigne;non renseigne;75000;
place monge;marche bresilien place monge, un voyage culturel garantie.;place monge;paris;75005;75105
chapelle saint-louis de l'hopital pitie-salpetriere;fievres musicales - festival de piano et musique de chambre de la pitie-salpetriere;83, boulevard de l'hopital;paris;75013;75113
musee de montmartre;visite guidee des jardins renoir;47 rue des trois freres;paris;75018;75118
parc floral de paris;agogo : jean-brice godet, sophie agnel & toma gouband;route de la pyramide;paris;75012;75112
jardin21;open air avec trans africa airlines;12/a rue ella fitzgerald;paris;75019;75119
8 rue raymond queneau, bobigny 93000;orgie ourcqestrale open air party : gourmandisque and friends;8 rue raymond queneau;bobigny;93000;93008
la filmotheque;projection: quartier latin dyptique inspire de l'uvre de thomas bernhard;9 rue champollion;paris;75005;75105
mediatheque francoise sagan;atelier philo;8 rue leon schwartzenberg;paris;75010;75110
sous la canopee, forum des halles;canopee#estiv'halles;101 rue berger;paris;75002;75102
3615 croisiere;3615 croisiere - saison 3 - vol 2;2 quai saint-bernard;paris;75005;75105
les disquaires;the doodo;6 rue des taillandiers;paris;75011;75111
institut des cultures d'islam;conte musical pour enfants : je viens dou tu vas;19, rue leon;paris;75018;75118
philharmonie de paris;de la litterature a la musique : concert sur l'ouvrage walden ou la vie dans les bois;221 avenue jean jaures;paris;75019;75119
philharmonie de paris;orchestre symphonique kimbanguiste de kinshasa;221 avenue jean jaures;paris;75019;75119
studio de l'ermitage;marc berthoumieux;8 rue de l'ermitage;paris;75020;75120
musee marmottan monet;l'histoire des emotions en peinture... et en expo !;2, rue louis-boilly;paris;75016;
maison de victor hugo;a table avec victor hugo !;6 place des vosges;paris;75004;75104
musee d'orsay;gaudi au musee d'orsay;esplanade valery giscard d'estaing;paris;75007;75107
bibliotheque colette vivier;histoires du mercredi;6 rue fourneyron;paris;75017;75117
mediatheque jean-pierre melville;smartphones et vie privee : comment se proteger ?;79 rue nationale;paris;75013;75113
mediatheque jean-pierre melville;securite sur internet;79 rue nationale;paris;75013;75113
l'international;lofish rds party : moise turizer + batterie faible + epiphagi;5 rue moret;paris;75011;75111
l'institut du monde arabe;conferences & ateliers;1 rue des fosses-saint-bernard;paris;75005;75105
l'institut du monde arabe;son il dans ma main. algerie 1961-2019. raymond depardon / kamel daoud;1 rue des fosses-saint-bernard;paris;75005;75105
non renseigne;croisiere au fil de la marne et de son patrimoine;non renseigne;non renseigne;75000;
parc des buttes-chaumont;petite nature - open air : dj sets, paillettes et animations;place armand-carrel;paris;75019;75119
le baiser sale;la jam du lundi animee par francois constantin speciale quincy jones;58 rue des lombards;paris;75001;75101
fgo-barbara;dead chic + k.twomey en concert a fgo-barbara le 1er juin;1 rue fleury;paris;75018;75118
supersonic;rock et punk garage pour une soiree dechainee au supersonic;9 rue biscornet;paris;75012;75112
le hasard ludique;charlotte oc;128 avenue de saint-ouen;paris;75018;75118
grand amphitheatre de la sorbonne;concert odysseus de max bruch, par le chur de paris;47, rue des ecoles;paris;75005;75105
la bellevilloise;brarda & monsieur dako;19-21 rue boyer;paris;75020;75120
la recyclerie;rencontre regenerationnelle special ecologie;83 boulevard ornano;paris;75018;75118
la place;serie limitee : createurs, dj sets & drinks !;forum des halles -  la canopee;paris;75001;75101
la recyclerie;que peut le plan lorsquil y a urgence ?;83 boulevard ornano;paris;75018;75118
le monfort theatre;ukraine fire  dakh daughters;parc georges brassens, 106 rue brancion;paris;75015;75115
l'institut du monde arabe;"lhorizon de kheops, ""un voyage en egypte ancienne""";1 rue des fosses-saint-bernard;paris;75005;75105
gymnase federation;hand 4 elles;16 bis rue de la federation;paris;75015;75115
bagagerie 188;paris 12e : collecte de produits d'hygiene;188 rue charenton;paris;75012;75112
cite internationale des arts;fresque / firi anoihi / le lien par l'art par abuz;18, rue de lhotel de ville;paris;75004;75104
philharmonie de paris;cheffes et chefs de legende et d'aujourd'hui/ susanna malkki;221 avenue jean jaures;paris;75019;75119
conservatoire a rayonnement regional de paris - crr;recital jeunes chanteurs;14 rue de madrid;paris;75008;75108
theatre de la ville - espace cardin;roommates;1 avenue gabriel;paris;75008;75108
theatre de la ville - espace cardin;rebota rebota y en tu cara explota;1 avenue gabriel;paris;75008;75108
opera comique;la petite boutique des horreurs de alan menken;place boieldieu;paris;75002;75102
le baiser sale;le velvet club : a tribute to nat king cole presente l.o.v.e;58 rue des lombards;paris;75001;75101
bibliotheque andree chedid;les petits dej' contes du samedi matin !;36 rue emeriau;paris;75015;75115
non renseigne;conferences musicales;non renseigne;non renseigne;75000;
non renseigne;perennial fashion (presence falling)  une lecture de fred moten;non renseigne;non renseigne;75000;
theatre halle roublot;hen, de johanny bert;95 rue roublot;fontenay sous bois;94120;94033
mediatheque de la canopee la fontaine;cafe litteraire;10 passage de la canopee;paris;75001;75101
cite internationale universitaire;parcours street art dans le sud parisien;17 boulevard jourdan;paris;75014;75114
bibliotheque andree chedid;"atelier autour de ""casse-noisette"" a la bibliotheque andree chedid";36 rue emeriau;paris;75015;75115
bibliotheque aime cesaire;cabaret dans l'air du temps - cie a force de rever;5 rue de ridder;paris;75014;75114
bibliotheque amelie;conference | le siecle d'or espagnol;164 rue de grenelle;paris;75007;75107
mediatheque marguerite duras;racisme et jeu video;115, rue de bagnolet;paris;75020;75120
le bal blomet;gershwin le magnifique;33 rue blomet;paris;75015;75115
3615 croisiere;3615 croisiere - saison 3 - vol 9;2 quai saint-bernard;paris;75005;75105
theatre le metropole;"florence mendez dans ""delicate""";39 rue du sentier;paris;75002;75102
sunset & sunside;annick tangorra & alain jean-marie;60 rue des lombards;paris;75001;75101
la gaite lyrique;darius - oasis tour 2022;3 bis rue papin;paris;75003;75103
maison de balzac (musee et bibliotheque);exposition  buraglio a lepreuve de balzac ;47 rue raynouard;paris;75016;
theatre 13 / bibliotheque;prix theatre 13 / jeunes metteurs en scene;30 rue du chevaleret;paris;75013;75113
mairie du 17e arrondissement;mois parisien du handicap 2022 projection du film ca tourne!;16-20, rue des batignolles;paris;75017;75117
petit bain;buddy rds party : low life + oi boys + entracte twist;7 port de la gare;paris;75013;75113
le domaine national de saint-cloud;rock en seine voit la vie en grand pour 2022;place george clemenceau;saint-cloud;92210;92064
palais des sports;one night of queen, concert rock;34 boulevard victor;paris;75015;75115
grand rex;madiba, le musical;1 boulevard poissonniere;paris;75002;75102
petit bain;not waving + spivak;7 port de la gare;paris;75013;75113
parvis de l'eglise de menilmontant;festival des canotiers;place maurice chevalier;paris;75020;75120
le baiser sale;concert : jam session animee par caloe - hommage a chico buarque #placeauxjeunes;58 rue des lombards;paris;75001;75101
college des bernardins;le festival des bernardins;20, rue de poissy;paris;75005;75105
mediatheque de la canopee la fontaine;"rencontre/ debat autour du livre ""reconstruire ensemble ce monde abime""";10 passage de la canopee;paris;75001;75101
memorial de la shoah;"""et la terre souvrit une derniere fois"" darnaud sauli";17 rue geoffroy l'asnier;paris;75004;75104
mediatheque de la canopee la fontaine;soiree jeux (lsf/fr);10 passage de la canopee;paris;75001;75101
bibliotheque l'heure joyeuse;ateliers et lectures | les amis pere castor;6-12 rue des pretres saint-severin;paris;75005;75105
le baiser sale;#lajamdetouslesjazz jam session animee par francois constantin hommage a celia cruz;58 rue des lombards;paris;75001;75101
memorial de la shoah;temoignage : joseph weismann et annette krajcer janin;17 rue geoffroy l'asnier;paris;75004;75104
square edouard vaillant;"atelier ""trompe oeil"" gratuit pour enfants et familles / paris 20";50, avenue gambetta;paris;75020;75120
la recyclerie;atelier sur la multiplication vegetale - les journees nationales de l'agriculture urbaine;83 boulevard ornano;paris;75018;75118
le baiser sale;#fetedelamusique tiss +5;58 rue des lombards;paris;75001;75101
shakirail;la bamboche solidaire - asterya s'enjaille au shakirail !;72 rue riquet;paris;75018;75118
la 20e chaise;paris 20e : ou donner vos vetements a paris ?;38 rue des amandiers;paris;75020;75120
auditorium de radio france;les oyseaux vivent sans contraintes, sofi jeannin;116 avenue du president kennedy;paris;75016;
auditorium de radio france;viva l'orchestra ! cristian macelaru;116 avenue du president kennedy;paris;75016;
philharmonie de paris;cheffes et chefs de legende et d'aujourd'hui;221 avenue jean jaures;paris;75019;75119
le monfort theatre;le jour du grand jour & le dur desir de durer;parc georges brassens, 106 rue brancion;paris;75015;75115
chaillot  theatre national de la danse;corps extremes;1  place du trocadero;paris;75016;
theatre de la ville - abbesses;pierre hantai;31 rue des abbesses;paris;75018;75118
non renseigne;contes et histoires avec le centre des monuments nationaux;non renseigne;non renseigne;75000;
musee d'orsay;aristide maillol (1861-1944). la quete de l'harmonie;1 rue de la legion d'honneur;paris;75007;75107
conservatoire frederic chopin;"""don quichotte de l'ame anche"" au conservatoire frederic chopin";43 rue bargue;paris;75015;75115
theatre de l'aquarium;copasetic jive;la cartoucherie - 2 route du champ de manuvre;paris;75012;75112
dali paris;musee dali paris;11 rue poulbot;paris;75018;75118
exploradome;programme des vacances d'hiver a l'exploradome !;18 avenue henri barbusse;vitry-sur-seine;94400;94081
eglise saint-merry;l'orchestre paris sinfonia;76 rue de la verrerie;paris;75004;75104
bibliotheque aime cesaire;petites histoires sous le frangipanier;5, rue de ridder;paris;75014;75114
maif social club;"visites familles de lexposition ""prendre la tangente""";37 rue de turenne;paris;75003;75103
theatre bobino;stand up dans le cadre du festival d'humour de paris;14-20 rue de la gaite;paris;75014;75114
l'atelier des lumieres;cezanne,  lumieres de provence  a l'atelier des lumieres;38 rue saint maur;paris;75011;75111
musee du louvre;stage de dessin de morphologie : les muscles du corps humain;34, quai du louvre;paris;75001;75101
place jacque rueff, champ de mars;longines global champions tour - longines paris eiffel jumping;place jacque rueff, champ de mars.;paris;75007;75107
mediatheque musicale de paris (mmp);jeu de piste : chicorelys ou lepopee des plantes magiques...;8 porte saint eustache;paris;75001;75101
jardin villemin;bibliotheque hors les murs - francoise sagan;14 rue des recollets;paris;75010;75110
bibliotheque benoite groult;rencontre avec chiara pastorini, philosophe;25 rue du commandant rene mouchotte;paris;75014;75114
centre paris anim'  pole simon lefranc;stages photo numerique avec virginie merle;9, rue simon lefranc;paris;75004;75104
non renseigne;les animations lire autrement en bibliotheque;non renseigne;non renseigne;75000;
bibliotheque assia djebar;le cafe des parents;1 rue reynaldo hahn;paris;75020;75120
centre paris anim' jemmapes;les fragiles - exposition de pablo & jean-francois piette;116, quai de jemmapes;paris;75010;75110
les etoiles;baptiste ventadour;61 rue du chateau d'eau;paris;75010;75110
bibliotheque andree chedid;"rencontre avec anouk lejczyk pour ""felis silvestris""a la bibliotheque andree chedid";36 rue emeriau;paris;75015;75115
le 360 paris music factory;cie tambor y canto  la segunda ;32 rue myrha;paris;75018;75118
le 360 paris music factory;camille bertault;32, rue myrha;paris;75018;75118
square nadar;urban trail de la butte montmartre;2 rue saint-eleuthere;paris;75018;75118
institut suedois;longing  fils tisses, recits croises;11 rue payenne;paris;75003;75103
le klub;la grotte aux vilain.e.s #1;14 rue saint-denis;paris;75001;75101
hoba - parc martin luther king;inauguration de hoba;147 rue cardinet;paris;75017;75117
stade jean bouin;relais ekiden du stade francais;26 avenue du general sarrail (20-40);paris;75016;
bibliotheque marguerite audoux;festival la nuit remue 14;10 rue portefoin;paris;75003;75103
badaboum;ravyn lenae  badaboum  18 juin 2022;2 rue des taillandiers;paris;75011;75111
bibliotheque louise walser-gaillard;et si l'on jouait ?;26, rue chaptal;paris;75009;75109
non renseigne;les journees europeennes de l'archeologie;non renseigne;non renseigne;75000;
bibliotheque l'heure joyeuse;atelier creatif | la petite joaillerie;6-12 rue des pretres saint-severin;paris;75005;75105
institut culturel du mexique;pendant ce temps a veracruz: conference sur la vanille avec degustation;119 rue vieille du temple;paris;75003;75103
parc floral de paris;festivals du parc floral;route de la pyramide;paris;75012;75112
centre culturel irlandais;regards sur lirlande du nord;5 rue des irlandais;paris;75005;75105
le carreau du temple;corps exquis  joanne leighton / wldn;2 rue perree;paris;75003;75103
bibliotheque l'heure joyeuse;festival quartier du livre a l'heure joyeuse;6-12 rue des pretres saint-severin;paris;75005;75105
la cachette de paris;visite guidee : montmartre au cinema;151b, rue marcadet;paris;75018;75118
bagagerie onze mille potes;paris 11e : ou donner vos vetements a paris;42 rue oberkampf;paris;75011;75111
salle colonne;concert musique de chambre | flaneries mozartiennes;94 boulevard auguste blanqui;paris;75013;75113
philharmonie de paris;opera : la sexualite sur scene, entre letat et le droit;221 avenue jean jaures;paris;75019;75119
la gaite lyrique;voyageurs du numerique;3 bis rue papin;paris;75003;75103
la camillienne;futsal a la pause dej;12, rue des meuniers;paris;75012;75112
opera comique;lakme de leo delibes;place boieldieu;paris;75002;75102
atelier matiere et imaginaire de natasha mercier;stage de noel de dessin et peinture avec l'artiste moss lab;41, rue de la butte aux cailles;paris;75013;75113
gymnase vaugirard-littre;dansez maintenant et toujours - cours;87 rue de vaugirard;paris;75006;75106
le hasard ludique;wrabel;128 avenue de saint ouen;paris;75018;75118
bibliotheque georges brassens;heure du conte maternelle et primaire : mercredi 08 juin;38 rue gassendi;paris;75014;75114
accor arena;internationaux de france de gymnastique;8 boulevard de bercy;paris;75012;75112
visites paris 15;decouverte du 15e parisien : balade a vaugirard;1 place adolphe cherioux;paris;75015;75115
eglise de la madeleine;concert de gospel a leglise de la madeleine;place de la madeleine;paris;75008;75108
non renseigne; yeondeunghoe, un festival bouddhique de couleurs illuminees  exposition sur la fete des lanternes en coree;non renseigne;non renseigne;75000;
bibliotheque europe;balade-conference avec francoise anica : marcel proust et les arts dans la plaine monceau;3 rue de lisbonne;paris;75008;75108
musee de la prefecture de police;exposition la police des murs a paris;4, rue de la montagne sainte-genevieve;paris;75005;75105
theatre bobino;carte blanche a pierre-emmanuel barre dans le cadre du festival d'humour de paris;14-20 rue de la gaite;paris;75014;75114
bibliotheque des litteratures policieres;concours de comic strips  3 a 4 cases, 1 ligne ;48 50 rue du cardinal lemoine;paris;75005;75105
musee de montmartre;atelier de jardinage boutures du potager;12 rue cortot;paris;75018;75118
la cinematheque francaise;romy schneider, l'exposition;51, rue de bercy;paris;75012;75112
bibliotheque louise walser-gaillard;langue des signes et culture sourde : regards croises entre la france et les etats-unis;26, rue chaptal;paris;75009;75109
bibliotheque gutenberg;atelier de creation d'azulejos a la bibliotheque gutenberg;8 rue de la montagne d'aulas;paris;75015;75115
mediatheque de la canopee la fontaine;jeu de piste : chicorelys ou lepopee des plantes magiques...;10 passage de la canopee;paris;75001;75101
musee de l'armee;photographies en guerre;129, rue de grenelle;paris;75007;75107
bibliotheque benoite groult;rencontre avec xavier galmiche a la bibliotheque benoite groult;25 rue du commandant rene mouchotte;paris;75014;75114
theatre 14;au theatre 14 :  72 vierges  mise en scene mehdi-georges lahlou;20, avenue marc sangnier;paris;75014;75114
le klub;electro shocking - lives + dj sets electro au klub;14 rue saint denis;paris;75000;
parc kellermann;ateliers pratiques a la ferme urbaine de kellermann;19 rue de la poterne-des-peupliers;paris;75013;75113
rue des enfants;fete de la caravane des dix mots paris;rue bignon;paris;75012;75112
la place centre culturel hip hop;en corps ! edition 3 speciale les gamal;10 passage de la canopee;paris;75001;75101
cours avril nathalie;stage de dessin a paris;24 rue leon frot;paris;75011;75111
non renseigne;prenez un grand shoot de bonne humeur : concert abadachoeur;non renseigne;non renseigne;75000;
galerie 9e art;exposition juan gimenez - lart de la sf;4 rue cretet;paris;75009;75109
theatre de plein air du parc de choisy;concerts des eleves de l'academie inter musicale de paris;128 avenue de choisy;paris;75013;75113
librairie le monte en l'air;les parleuses : vickie gendreau (1989-2013) vue par aimee verret;2 rue de la mare;paris;75020;75120
theatre ouvert;festival michel vinaver, il va sans dire;159 avenue gambetta;paris;75020;75120
le carreau du temple;sobanova dance awards #6;2 rue perree;paris;75003;75103
theatre ouvert;le moment psychologique;159 avenue gambetta;paris;75020;75120
a la folie theatre;a la folie theatre - cours de theatre enfants;6, rue de la folie mericourt;paris;75011;75111
lycee jacques-decour;nass (les gens)  fouad boussouf;12 avenue trudaine;paris;75009;75109
maison de victor hugo;"cafe litteraire au cafe mulot : ""leopoldine"" de thierry consigny";6 place des vosges;paris;75004;75104
non renseigne;festival manifeste, la stimulation de limaginaire par lintelligence artificielle;non renseigne;non renseigne;75000;
abbaye de port-royal des champs;que ma joie demeure  clara hedouin;les granges de port-royal;magny-les-hameaux;78114;78356
le monfort theatre;en finir  daria deflorian;parc georges brassens, 106 rue brancion;paris;75015;75115
le centquatre-paris (104);graines, l'exposition !;5 rue curial;paris;75019;75119
grand palais ephemere;palais augmente, festival des nouvelles perceptions au grand palais ephemere;place joffre;paris;75007;75107
philharmonie de paris;orchestre de paris / concert d'ouverture;221 av. jean jaures;paris;75019;75119
non renseigne;champs-elysees film festival 2022;non renseigne;non renseigne;75000;
eglise saint-merry;madeleine de boysson, violon et anne de boysson, piano;76 rue de la verrerie;paris;75004;75104
cinema le grand action (paris 5e);programme 2 : 18eme edition du festival des nouveaux cinemas;5, rue des ecoles;paris;75005;75105
marche baudoyer;une bourse aux velos pour feter le debut de l'ete !;place baudoyer;paris;75004;75104
stade de roland garros; mouvement perpetuel , la triple expo sur le stade roland-garros;1 place de la porte d'auteuil;paris;75016;
parvis-notre-dame;borealis, des aurores boreales, ici et maintenant  dan acher;6 parvis-notre-dame;paris;75004;75104
mediatheque de la canopee la fontaine;"conference ""favoriser les chemins pour la faune et la flore sauvages a paris""";10 passage de la canopee;paris;75001;75101
square monseigneur-maillet;bibliotheques hors les murs 2022 - bibliotheque fessart;place des fetes;paris;75019;75119
le bal blomet;les 1001 nuits du jazz  le gospel;33 rue blomet;paris;75015;75115
non renseigne;dans les pas de marcel proust - visite guidee;non renseigne;non renseigne;75000;
bibliotheque drouot;"une uvre a voir : ""diptyques que sais-je ?"" de miller levy";11 rue drouot;paris;75009;75109
philharmonie de paris;expo : hip-hop 360, l'hommage de la philharmonie a la culture rap;221 av. jean jaures;paris;75019;75119
