ID;titre;chapeau;mots_cles;type_prix;date_debut;date_fin;nb_occurrences;acces_PMR;acces_mal_voyant;acces_mal_entendant;lieu;url;code_insee
20602;coline rio (+1ere partie);les trois baudets vous proposent de decouvrir coline rio, laureate du prix cecile pollet 2021, organise avec le soutien de la fondation cecile pollet, abritee par la fondation de france, en collaboration avec les trois baudets et fgo-barbara.;musique;payant;2022-06-05;2022-06-06;2;0;0;0;les trois baudets;https://www.paris.fr/evenements/coline-rio-1ere-partie-20602;75118
20610;bleu jeans bleu;depuis la parution de cette ritournelle contagieuse au printemps 2019, bleu jeans bleu se revele au radar grand public et sinstalle comme lun des groupes les plus en vue dans le paysage quebecois.;musique;payant;2022-06-05;2022-06-06;2;0;0;0;la dame de canton;https://www.paris.fr/evenements/bleu-jeans-bleu-20610;75113
20030;visite guidee des collections permanentes du musee cernuschi;loge dans un hotel particulier du xixeme siecle, en bordure du parc monceau, le musee cernuschi abrite une collection d'objets venus d'extreme orient : chine, japon, vietnam, coree.;expo;payant;2022-06-05;2022-06-06;30;0;0;0;musee cernuschi - musee des arts de l'asie de la ville de paris;https://www.paris.fr/evenements/visite-guidee-des-collections-permanentes-du-musee-cernuschi-20030;75108
20639;rencontre - dedicace;"rencontre avec murat ozyasar autour de son livre
 certifie conforme, histoires de diyarbakir  
rencontre animee par mahir guven, 
ecrivain et editeur francais,";conference;gratuit;2022-06-05;2022-06-06;2;1;0;0;bibliotheque francois villon;https://www.paris.fr/evenements/rencontre-dedicace-20639;75110
20391;atelier enfants : le musee dans la poche;participez a cette visite-atelier en famille et decouvrez l'histoire du musee carnavalet!;enfants;payant;2022-06-05;2022-06-06;6;1;1;1;musee carnavalet-histoire de paris;https://www.paris.fr/evenements/visite-atelier-au-musee-carnavalet-le-musee-dans-la-poche-20391;75103
18257;ateliers bd;cycle de 4 seances pour apprendre a raconter des histoires en bd, du scenario a la planche, en passant par le storyboard;atelier;gratuit;2022-06-05;2022-06-06;8;1;0;0;mediatheque helene berr;https://www.paris.fr/evenements/ateliers-bd-18257;75112
20628;cours de francais;cours de francais langue etrangere dispense par l'association baam (bureau d'accueil et d'accompagnement des migrants).;atelier;gratuit;2022-06-05;2022-06-06;28;1;0;0;mediatheque francoise sagan;https://www.paris.fr/evenements/cours-de-francais-20628;75110
20242;mots typographies, prolongements dessines | cartes postales;dans le cadre de partir en livre, la fete nationale du livre pour la jeunesse, venez creer vos propres cartes postales avec l'artiste valerie linder ! entre aquarelle et typographie, vous explorerez le theme de l'amitie...;enfants;gratuit;2022-06-05;2022-06-06;2;0;0;1;bibliotheque saint-eloi;https://www.paris.fr/evenements/mots-typographies-prolongements-dessines-cartes-postales-20242;75112
20114;festival june events;du 30 mai au 18 juin, latelier de paris vous convie au festival june events. pour cette 16eme edition, une murmuration dartistes questionne le rapport au vivant et a notre humanite.;nature;payant;2022-06-05;2022-06-06;;0;0;0;atelier de paris - carolyn carlson;https://www.paris.fr/evenements/festival-june-events-20114;75112
20888;"nocturne exposition ""soutenir""";visite guidee avec cynthia fleury et scau architectes le mercredi 8 juin a 19h au pavillon de l'arsenal.;expo;gratuit;2022-06-05;2022-06-06;2;0;0;0;pavillon de l'arsenal;https://www.paris.fr/evenements/nocturne-exposition-soutenir-20888;75104
